"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / [Primary]","Included / International","Status","product.metafields.custom.quote"
"flower-cup-saucer",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/flower-cup-saucer-blue.jpg","5","Flower Cup Saucer - Blue",,,,,,,,,,,,,,,,,,,,,,,,
"flower-cup-saucer",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/flower-cup-saucer-white1.jpg","6","Flower Cup Saucer - White1",,,,,,,,,,,,,,,,,,,,,,,,
"flower-cup-saucer",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/flower-cup-saucer-yellow.jpg","7","Flower Cup Saucer - Yellow",,,,,,,,,,,,,,,,,,,,,,,,
"green-frog",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/green-frog-%283%29.jpg","2","Green Frog",,,,,,,,,,,,,,,,,,,,,,,,
"green-frog",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/green-frog.jpg","3","Green Frog",,,,,,,,,,,,,,,,,,,,,,,,
"set-of-3-bunnys",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/set-of-3-bunnys-pink.jpg","5","Set Of 3 Bunnys - Pink",,,,,,,,,,,,,,,,,,,,,,,,
"snow-scene",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/snow-scene-blue.jpg","6","Snow Scene - Blue",,,,,,,,,,,,,,,,,,,,,,,,
"snow-scene",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/snow-scene-orange.jpg","7","Snow Scene - Orange",,,,,,,,,,,,,,,,,,,,,,,,
"snow-scene",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/snow-scene-red.jpg","8","Snow Scene - Red",,,,,,,,,,,,,,,,,,,,,,,,
"snow-scene",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/snow-scene-white-%283%29.jpg","9","Snow Scene - White",,,,,,,,,,,,,,,,,,,,,,,,
"snow-scene",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/snow-scene-white.jpg","10","Snow Scene - White",,,,,,,,,,,,,,,,,,,,,,,,
"snow-scene",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/snow-scene-yellow-%283%29.jpg","11","Snow Scene - Yellow",,,,,,,,,,,,,,,,,,,,,,,,
"snow-scene",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/snow-scene-yellow.jpg","12","Snow Scene - Yellow",,,,,,,,,,,,,,,,,,,,,,,,
