"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","BaseName","ResolvedTarget","Target","LinkType","Name","Parent","Root","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","UnixFileMode","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Brown Butterfly.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Brown Butterfly.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Brown Butterfly","C:\GitRepos\alisoncreations\resources\images\Brown Butterfly.jpg",,,"Brown Butterfly.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Brown Butterfly.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:09:58","24/09/2025 21:09:58","15/06/2025 14:08:13","15/06/2025 13:08:13",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Butterfly white quote  2.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Butterfly white quote  2.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Butterfly white quote  2","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote  2.jpg",,,"Butterfly white quote  2.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote  2.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:09:58","24/09/2025 21:09:58","15/06/2025 14:08:52","15/06/2025 13:08:52",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 1 .jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Butterfly white quote 1 .jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Butterfly white quote 1 ","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 1 .jpg",,,"Butterfly white quote 1 .jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 1 .jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:09:58","24/09/2025 21:09:58","08/06/2025 11:41:07","08/06/2025 10:41:07",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 1.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Butterfly white quote 1.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Butterfly white quote 1","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 1.jpg",,,"Butterfly white quote 1.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 1.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:09:58","24/09/2025 21:09:58","15/06/2025 14:08:13","15/06/2025 13:08:13",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 2.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Butterfly white quote 2.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Butterfly white quote 2","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 2.jpg",,,"Butterfly white quote 2.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 2.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","24/09/2025 22:09:58","24/09/2025 21:09:58","08/06/2025 11:41:07","08/06/2025 10:41:07",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 3.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Butterfly white quote 3.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Butterfly white quote 3","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 3.jpg",,,"Butterfly white quote 3.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 3.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","24/09/2025 22:09:58","24/09/2025 21:09:58","15/06/2025 14:08:05","15/06/2025 13:08:05",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Cat & Dog.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Cat & Dog.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Cat & Dog","C:\GitRepos\alisoncreations\resources\images\Cat & Dog.jpg",,,"Cat & Dog.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Cat & Dog.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","24/09/2025 22:09:58","24/09/2025 21:09:58","01/06/2025 17:10:12","01/06/2025 16:10:12",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Cat brown-white.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Cat brown-white.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Cat brown-white","C:\GitRepos\alisoncreations\resources\images\Cat brown-white.jpg",,,"Cat brown-white.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Cat brown-white.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","24/09/2025 22:09:58","24/09/2025 21:09:58","15/06/2025 14:08:44","15/06/2025 13:08:44",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Cat Dark Silver.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Cat Dark Silver.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Cat Dark Silver","C:\GitRepos\alisoncreations\resources\images\Cat Dark Silver.jpg",,,"Cat Dark Silver.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Cat Dark Silver.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","24/09/2025 22:09:58","24/09/2025 21:09:58","15/06/2025 14:08:47","15/06/2025 13:08:47",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Cat gold-brown.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Cat gold-brown.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Cat gold-brown","C:\GitRepos\alisoncreations\resources\images\Cat gold-brown.jpg",,,"Cat gold-brown.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Cat gold-brown.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","24/09/2025 22:09:58","24/09/2025 21:09:58","15/06/2025 14:08:44","15/06/2025 13:08:44",,"-1","Archive"
